;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NOVEDAD;;;;;;NO DISPONIBLE;;;;;;;;;;;;
;PROMOCION;;;;;;LIMITADO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
28 - ROL;;;;;;30  -  Yu-Gi-Oh!;;;;;;;;;;;;;
1503;Ultra Pro Satin Tower Deck Box - Azul; $509,36 ; $924 ;Agotado;;1099;PROTECTOR UltraPro ROJO LAVA x 50; $151,59 ; $275 ;;;;;;;;;;
1504;Ultra Pro Satin Tower Deck Box - Rojo; $509,36 ; $924 ;Agotado;;1100;PROTECTOR UltraPro VERDE MATRIX x 50; $151,59 ; $275 ;;;;;;;;;;
1505;Ultra Pro Satin Tower Deck Box - Verde; $509,36 ; $924 ;Agotado;;1101;PROTECTOR UltraPro NEGRO RAVEN x 50; $151,59 ; $275 ;;;;;;;;;;
2125;Ultra Pro Satin Tower Deck Box - Rosa Brillante; $509,36 ; $924 ;Agotado;;1102;PROTECTOR UltraPro Ultra•Pro AZUL TSUNAMI x 50 ; $151,59 ; $275 ;;;;;;;;;;
2126;Ultra Pro Satin Tower Deck Box - Verde Lima; $509,36 ; $924 ;Agotado;;1119;PROTECTOR UltraPro BLANCO POWDER x 50; $151,59 ; $275 ;;;;;;;;;;
2128;Ultra Pro Satin Tower Deck Box - Violeta; $509,36 ; $924 ;;;1127;PROTECTOR UltraPro AMARILLO CANARY x 50; $151,59 ; $275 ;;;;;;;;;;
¡Ultra•Pro! DECK BOXES;;;;;;1148;PROTECTOR UltraPro SUNSET PINK x 50; $151,59 ; $275 ;;;;;;;;;;
1106;DECK BOX Ultra•Pro  TRANSLUCIDO x 1; $90,96 ; $165 ;;;1288;PROTECTOR UltraPro NARANJA CANDY x 50; $151,59 ; $275 ;;;;;;;;;;
1109;DECK BOX Ultra•Pro NEGRO x 1; $90,96 ; $165 ;;;1304;PROTECTOR UltraPro TRANSPARENTE x 50; $151,59 ; $275 ;;;;;;;;;;
1110;DECK BOX Ultra•Pro AZUL x 1; $90,96 ; $165 ;;;1305;PROTECTOR UltraPro VIOLETA x 50; $151,59 ; $275 ;;;;;;;;;;
